# EvNr,  EvT,   V(1),  T(1), ..., V(NC), T(NC) 
2, 0.216, 0.000, 0.000, 0.027, 0.000, 0.000, 0.000
3, 0.233, 0.000, 0.000, 0.027, 0.000, 0.000, 0.000
4, 0.238, 0.000, 0.000, 0.047, 0.000, 0.000, 0.000
5, 0.308, 0.000, 0.000, 0.032, 0.000, 0.000, 0.000
7, 0.342, 0.000, 0.000, 0.047, 0.000, 0.000, 0.000
8, 0.433, 0.000, 0.000, 0.027, 0.000, 0.000, 0.000
10, 0.706, 0.000, 0.000, 0.054, 0.000, 0.000, 0.000
15, 0.870, 0.000, 0.000, 0.058, 0.000, 0.000, 0.000
21, 1.012, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
22, 1.086, 0.000, 0.000, 0.079, 0.000, 0.000, 0.000
23, 1.124, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
24, 1.141, 0.000, 0.000, 0.027, 0.000, 0.000, 0.000
25, 1.196, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
26, 1.238, 0.000, 0.000, 0.093, 0.000, 0.000, 0.000
30, 1.355, 0.000, 0.000, 0.061, 0.000, 0.000, 0.000
32, 1.418, 0.000, 0.000, 0.029, 0.000, 0.000, 0.000
35, 1.467, 0.000, 0.000, 0.058, 0.000, 0.000, 0.000
36, 1.498, 0.000, 0.000, 0.044, 0.000, 0.000, 0.000
38, 1.561, 0.000, 0.000, 0.030, 0.000, 0.000, 0.000
39, 1.576, 0.000, 0.000, 0.036, 0.000, 0.000, 0.000
40, 1.632, 0.000, 0.000, 0.029, 0.000, 0.000, 0.000
43, 1.762, 0.000, 0.000, 0.038, 0.000, 0.000, 0.000
45, 1.900, 0.000, 0.000, 0.052, 0.000, 0.000, 0.000
46, 1.920, 0.000, 0.000, 0.030, 0.000, 0.000, 0.000
47, 1.934, 0.000, 0.000, 0.088, 0.000, 0.000, 0.000
48, 1.959, 0.000, 0.000, 0.036, 0.000, 0.000, 0.000
49, 1.976, 0.000, 0.000, 0.040, 0.000, 0.000, 0.000
62, 2.299, 0.000, 0.000, 0.027, 0.000, 0.000, 0.000
65, 2.358, 0.000, 0.000, 0.060, 0.000, 0.000, 0.000
70, 2.480, 0.000, 0.000, 0.027, 0.000, 0.000, 0.000
71, 2.488, 0.000, 0.000, 0.032, 0.000, 0.000, 0.000
73, 2.556, 0.000, 0.000, 0.032, 0.000, 0.000, 0.000
79, 2.657, 0.000, 0.000, 0.074, 0.000, 0.000, 0.000
82, 2.726, 0.000, 0.000, 0.051, 0.000, 0.000, 0.000
83, 2.795, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
86, 2.894, 0.000, 0.000, 0.049, 0.000, 0.000, 0.000
87, 2.959, 0.000, 0.000, 0.038, 0.000, 0.000, 0.000
88, 2.990, 0.000, 0.000, 0.036, 0.000, 0.000, 0.000
89, 3.015, 0.000, 0.000, 0.047, 0.000, 0.000, 0.000
94, 3.107, 0.000, 0.000, 0.044, 0.000, 0.000, 0.000
96, 3.249, 0.000, 0.000, 0.035, 0.000, 0.000, 0.000
97, 3.255, 0.000, 0.000, 0.061, 0.000, 0.000, 0.000
99, 3.310, 0.000, 0.000, 0.040, 0.000, 0.000, 0.000
101, 3.345, 0.000, 0.000, 0.066, 0.000, 0.000, 0.000
104, 3.404, 0.000, 0.000, 0.054, 0.000, 0.000, 0.000
108, 3.650, 0.000, 0.000, 0.046, 0.000, 0.000, 0.000
109, 3.731, 0.000, 0.000, 0.066, 0.000, 0.000, 0.000
112, 3.855, 0.000, 0.000, 0.030, 0.000, 0.000, 0.000
114, 3.893, 0.000, 0.000, 0.032, 0.000, 0.000, 0.000
115, 3.901, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
116, 3.926, 0.000, 0.000, 0.051, 0.000, 0.000, 0.000
120, 3.985, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
124, 4.169, 0.000, 0.000, 0.029, 0.000, 0.000, 0.000
125, 4.204, 0.000, 0.000, 0.030, 0.000, 0.000, 0.000
127, 4.242, 0.000, 0.000, 0.038, 0.000, 0.000, 0.000
131, 4.314, 0.000, 0.000, 0.036, 0.000, 0.000, 0.000
133, 4.351, 0.000, 0.000, 0.047, 0.000, 0.000, 0.000
134, 4.374, 0.000, 0.000, 0.055, 0.000, 0.000, 0.000
135, 4.400, 0.000, 0.000, 0.029, 0.000, 0.000, 0.000
137, 4.445, 0.000, 0.000, 0.049, 0.000, 0.000, 0.000
141, 4.533, 0.000, 0.000, 0.033, 0.000, 0.000, 0.000
142, 4.574, 0.000, 0.000, 0.049, 0.000, 0.000, 0.000
143, 4.602, 0.000, 0.000, 0.040, 0.000, 0.000, 0.000
144, 4.631, 0.000, 0.000, 0.044, 0.000, 0.000, 0.000
149, 4.767, 0.000, 0.000, 0.029, 0.000, 0.000, 0.000
151, 4.897, 0.000, 0.000, 0.038, 0.000, 0.000, 0.000
152, 4.935, 0.000, 0.000, 0.035, 0.000, 0.000, 0.000
155, 4.974, 0.000, 0.000, 0.043, 0.000, 0.000, 0.000
156, 5.051, 0.000, 0.000, 0.026, 0.000, 0.000, 0.000
160, 5.161, 0.000, 0.000, 0.082, 0.000, 0.000, 0.000
165, 5.232, 0.000, 0.000, 0.057, 0.000, 0.000, 0.000
166, 5.250, 0.000, 0.000, 0.036, 0.000, 0.000, 0.000
167, 5.304, 0.000, 0.000, 0.040, 0.000, 0.000, 0.000
172, 5.489, 0.000, 0.000, 0.033, 0.000, 0.000, 0.000
