# EvNr,  EvT,   V(1),  T(1), ..., V(NC), T(NC) 
723, 22.625, 0.079, -0.000, 0.187, -0.000, 0.084, -0.000
726, 22.726, 0.112, 0.001, 0.140, 0.001, 0.120, -0.003
759, 23.661, 0.142, -0.000, 0.193, -0.000, 0.081, -0.000
761, 23.714, 0.040, -0.001, 0.196, 0.003, 0.197, -0.001
773, 24.176, 0.154, -0.000, 0.168, -0.000, 0.133, -0.000
798, 24.876, 0.090, -0.000, 0.085, -0.000, 0.097, -0.000
801, 24.963, 0.322, -0.000, 0.124, -0.000, 0.092, -0.000
811, 25.250, 0.106, 0.004, 0.132, -0.000, 0.092, -0.004
812, 25.260, 0.106, 0.003, 0.091, -0.001, 0.078, -0.001
815, 25.391, 0.109, 0.004, 0.141, -0.000, 0.249, -0.004
822, 25.608, 0.110, 0.001, 0.121, 0.001, 0.112, -0.003
837, 26.166, 0.225, 0.004, 0.273, -0.000, 0.288, -0.004
838, 26.172, 0.102, 0.001, 0.097, 0.001, 0.108, -0.003
872, 27.334, 0.080, -0.000, 0.143, -0.000, 0.148, -0.000
874, 27.359, 0.112, -0.000, 0.085, 0.004, 0.128, -0.004
875, 27.445, 0.104, -0.003, 0.102, 0.001, 0.084, 0.001
886, 27.658, 0.170, 0.003, 0.190, -0.001, 0.155, -0.001
906, 28.017, 0.082, -0.000, 0.130, -0.000, 0.206, -0.000
934, 29.007, 0.109, -0.001, 0.104, 0.003, 0.089, -0.001
953, 29.511, 0.178, 0.003, 0.232, -0.001, 0.205, -0.001
962, 29.776, 0.110, 0.001, 0.157, 0.001, 0.108, -0.003
966, 29.843, 0.151, 0.003, 0.168, -0.001, 0.220, -0.001
967, 29.860, 0.104, -0.000, 0.094, -0.000, 0.083, -0.000
971, 29.978, 0.173, 0.001, 0.105, 0.001, 0.094, -0.003
984, 30.366, 0.217, -0.001, 0.121, -0.001, 0.084, 0.003
993, 30.587, 0.079, 0.001, 0.101, 0.001, 0.228, -0.003
997, 30.716, 0.102, -0.001, 0.160, -0.001, 0.084, 0.003
1016, 31.285, 0.091, 0.001, 0.151, 0.001, 0.111, -0.003
1034, 31.961, 0.167, -0.000, 0.140, -0.000, 0.120, -0.000
1047, 32.247, 0.146, -0.001, 0.187, 0.003, 0.111, -0.001
1051, 32.306, 0.098, 0.003, 0.226, -0.001, 0.083, -0.001
1109, 34.153, 0.153, 0.001, 0.202, 0.001, 0.319, -0.003
1110, 34.168, 0.085, -0.000, 0.154, -0.000, 0.069, -0.000
1112, 34.226, 0.087, -0.000, 0.113, -0.000, 0.075, -0.000
1130, 34.710, 0.109, 0.003, 0.107, -0.001, 0.095, -0.001
1136, 34.868, 0.113, 0.003, 0.166, -0.001, 0.217, -0.001
1146, 35.039, 0.090, 0.001, 0.190, 0.001, 0.137, -0.003
1167, 35.728, 0.142, 0.003, 0.183, -0.001, 0.289, -0.001
1176, 36.098, 0.106, -0.000, 0.190, -0.000, 0.181, -0.000
1192, 36.670, 0.182, 0.001, 0.126, 0.001, 0.123, -0.003
1222, 37.547, 0.087, 0.001, 0.101, 0.001, 0.103, -0.003
1228, 37.842, 0.040, 0.001, 0.147, 0.001, 0.123, -0.003
