# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
63095, 96, 0.184,   0.184, 0.184,   0.24, 0.183
63251, 97, 9.66,   0, 9.66,   0, 0.187
63378, 98, 1.924,   0, 1.924,   0, 0.129
64419, 99, 1.176,   1.176, 1.176,   0.107, 0.085
64577, 100, 0.888,   0.888, 0.888,   0.0978, 0.133
65330, 101, 5.604,   5.604, 5.604,   0.121, 0.0866
66707, 102, 0.176,   0.176, 0.176,   0.138, 0.113
66921, 103, 1.516,   0, 1.516,   0, 0.358
67863, 104, 1.872,   0, 1.872,   0, 0.194
69113, 105, 0.592,   0.592, 0.592,   0.137, 0.0741
69448, 106, 1.492,   1.492, 1.492,   0.121, 0.112
69785, 107, 1.044,   1.044, 0,   0.0822, 0
69928, 108, 15.01,   15.01, 0,   0.0728, 0
70531, 109, 2.078,   0, 2.078,   0, 0.115
70680, 110, 2.628,   0, 2.628,   0, 0.302
71197, 111, 3.154,   3.154, 3.154,   0.113, 0.112
71374, 112, 1.598,   0, 1.598,   0, 0.113
71932, 113, 1.1,   0, 1.1,   0, 0.358
72302, 114, 6.568,   6.568, 6.568,   0.19, 0.0912
72563, 115, 0.356,   0, 0.356,   0, 0.0897
74062, 116, 5.5,   0, 5.5,   0, 0.116
74328, 117, 0.848,   0.848, 0.848,   0.163, 0.102
74588, 118, 4.308,   0, 4.308,   0, 0.243
75075, 119, 2.68,   0, 2.68,   0, 0.358
76364, 120, 0.22,   0.22, 0.22,   0.12, 0.102
76467, 121, 8.144,   8.144, 8.144,   0.0947, 0.127
77630, 122, 1.592,   0, 1.592,   0, 0.0756
79591, 123, 3.02,   0, 3.02,   0, 0.0709
79627, 124, 5.208,   0, 5.208,   0, 0.11
79703, 125, 0.334,   0.336, 0.332,   0.101, 0.0866
80347, 126, 4.288,   0, 4.288,   0, 0.126
80492, 127, 0.572,   0, 0.572,   0, 0.108
81491, 128, 1.24,   1.24, 1.24,   0.117, 0.135
81794, 129, 0.236,   0.236, 0.236,   0.153, 0.133
81912, 130, 0.864,   0, 0.864,   0, 0.358
82238, 131, 0.594,   0, 0.594,   0, 0.108
84872, 132, 3.032,   3.032, 3.032,   0.181, 0.191
85549, 133, 1.272,   1.272, 1.272,   0.0619, 0.0772
86166, 134, 2.228,   2.228, 2.228,   0.0962, 0.0991
86448, 135, 0.928,   0, 0.928,   0, 0.358
87381, 136, 0.756,   0.756, 0.756,   0.0853, 0.0897
87545, 137, 1.52,   1.52, 1.52,   0.0837, 0.0631
87749, 138, 7.49,   7.49, 7.49,   0.142, 0.0866
87798, 139, 2.936,   2.936, 2.936,   0.127, 0.122
88698, 140, 2.752,   0, 2.752,   0, 0.28
90053, 141, 2.144,   0, 2.144,   0, 0.0787
91406, 142, 9.242,   9.242, 9.242,   0.0994, 0.108
92302, 143, 0.9,   0, 0.9,   0, 0.129
92581, 144, 3.874,   0, 3.874,   0, 0.169
93611, 145, 0.678,   0, 0.678,   0, 0.0709
93743, 146, 2.354,   0, 2.354,   0, 0.133
95656, 147, 1.22,   0, 1.22,   0, 0.0944
95765, 148, 0.46,   0, 0.46,   0, 0.118
96295, 149, 0.628,   0, 0.628,   0, 0.221
97625, 150, 1.516,   1.516, 1.516,   0.148, 0.118
