# EvNr,  EvT,   V(1),  T(1), ..., V(NC), T(NC) 
184, 46.787, 0.185, 0.000
185, 46.822, 0.193, 0.000
186, 47.483, 0.177, 0.000
187, 47.566, 0.064, 0.000
188, 47.572, 0.341, 0.000
189, 47.707, 0.365, 0.000
190, 47.820, 0.345, 0.000
192, 47.918, 0.423, 0.000
193, 48.076, 0.189, 0.000
194, 48.727, 0.334, 0.000
195, 48.755, 0.080, 0.000
197, 49.069, 0.213, 0.000
198, 49.143, 0.162, 0.000
199, 49.369, 0.263, 0.000
200, 49.627, 0.111, 0.000
201, 50.124, 0.111, 0.000
202, 50.309, 0.314, 0.000
203, 50.600, 0.080, 0.000
204, 50.744, 0.177, 0.000
205, 51.236, 0.189, 0.000
206, 51.357, 0.076, 0.000
207, 51.558, 0.435, 0.000
208, 51.634, 0.314, 0.000
209, 51.760, 0.056, 0.000
211, 51.871, 0.287, 0.000
212, 52.221, 0.197, 0.000
213, 52.280, 0.220, 0.000
214, 52.452, 0.064, 0.000
215, 52.618, 0.400, 0.000
216, 52.995, 0.248, 0.000
217, 53.260, 0.501, 0.000
218, 53.531, 0.092, 0.000
219, 53.650, 0.115, 0.000
221, 55.120, 0.150, 0.000
222, 55.254, 0.103, 0.000
223, 55.295, 0.111, 0.000
224, 55.324, 0.326, 0.000
225, 55.565, 0.080, 0.000
226, 55.698, 0.205, 0.000
227, 55.702, 0.420, 0.000
231, 56.720, 0.334, 0.000
232, 56.888, 0.103, 0.000
233, 57.313, 0.318, 0.000
234, 57.549, 0.271, 0.000
235, 57.739, 0.080, 0.000
236, 58.157, 0.299, 0.000
237, 58.610, 0.064, 0.000
238, 58.621, 0.263, 0.000
239, 59.770, 0.111, 0.000
240, 60.257, 0.131, 0.000
241, 61.477, 0.103, 0.000
242, 61.572, 0.287, 0.000
243, 61.750, 0.099, 0.000
244, 62.053, 0.220, 0.000
245, 62.280, 0.135, 0.000
246, 62.652, 0.092, 0.000
247, 63.024, 0.459, 0.000
248, 63.195, 0.088, 0.000
249, 63.350, 0.135, 0.000
250, 63.726, 0.193, 0.000
251, 64.169, 0.127, 0.000
252, 64.721, 0.064, 0.000
253, 65.359, 0.205, 0.000
254, 65.474, 0.521, 0.000
255, 65.970, 0.111, 0.000
256, 66.179, 0.068, 0.000
257, 66.194, 0.115, 0.000
258, 66.301, 0.404, 0.000
259, 66.445, 0.404, 0.000
261, 66.568, 0.080, 0.000
262, 66.743, 0.197, 0.000
263, 66.971, 0.213, 0.000
264, 66.981, 0.084, 0.000
265, 67.137, 0.365, 0.000
266, 67.204, 0.135, 0.000
267, 67.744, 0.201, 0.000
268, 68.907, 0.064, 0.000
270, 69.057, 0.205, 0.000
271, 70.219, 0.263, 0.000
273, 71.352, 0.103, 0.000
274, 71.906, 0.287, 0.000
275, 72.224, 0.267, 0.000
276, 72.406, 0.142, 0.000
278, 73.502, 0.127, 0.000
279, 73.706, 0.154, 0.000
280, 73.937, 0.353, 0.000
282, 74.204, 0.174, 0.000
283, 74.777, 0.053, 0.000
284, 75.011, 0.170, 0.000
285, 75.354, 0.353, 0.000
286, 75.774, 0.334, 0.000
287, 76.002, 0.291, 0.000
288, 76.288, 0.060, 0.000
289, 76.323, 0.299, 0.000
290, 76.340, 0.267, 0.000
291, 76.578, 0.306, 0.000
292, 76.892, 0.154, 0.000
293, 77.679, 0.080, 0.000
294, 77.695, 0.494, 0.000
295, 78.078, 0.185, 0.000
296, 78.389, 0.064, 0.000
297, 78.449, 0.138, 0.000
298, 78.646, 0.197, 0.000
299, 78.976, 0.177, 0.000
300, 79.020, 0.138, 0.000
301, 79.141, 0.123, 0.000
302, 79.304, 0.107, 0.000
304, 80.127, 0.162, 0.000
305, 80.200, 0.685, 0.000
306, 80.384, 0.068, 0.000
307, 80.574, 0.263, 0.000
308, 81.014, 0.396, 0.000
309, 81.333, 0.080, 0.000
310, 81.555, 0.096, 0.000
311, 81.835, 0.291, 0.000
312, 82.268, 0.248, 0.000
313, 82.313, 0.361, 0.000
314, 82.433, 0.369, 0.000
316, 82.622, 0.310, 0.000
317, 82.632, 0.423, 0.000
318, 82.651, 0.330, 0.000
319, 82.880, 0.369, 0.000
320, 83.022, 0.170, 0.000
321, 83.126, 0.146, 0.000
322, 83.446, 0.185, 0.000
323, 83.707, 0.213, 0.000
324, 84.041, 0.275, 0.000
325, 84.145, 0.056, 0.000
326, 84.522, 0.412, 0.000
327, 84.532, 0.146, 0.000
328, 84.537, 0.080, 0.000
329, 84.851, 0.365, 0.000
331, 85.450, 0.088, 0.000
332, 85.478, 0.220, 0.000
334, 86.045, 0.384, 0.000
