# Datennamhe mit Kamiokanne 3. - 22. Apr. 2018  
#  Kanne 2 Karlsruhe, 1100 V, Trg. 45mv, Doppelpuls > 35 mV

# Run Summary: started 180403-2005  Trun=1623453.2s
#             Ntrig=6517345   Tlife=1574187.2s
#             Nacc=6403821 Ndble=1881

# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
3697625, 594, 9.584,   9.584, 0.0643
3699504, 595, 0.756,   0.756, 0.0994
3704362, 596, 0.888,   0.888, 0.33
3704524, 597, 0.248,   0.248, 0.0604
3705601, 598, 6.488,   6.488, 0.15
3707971, 599, 4.352,   4.352, 0.443
3729753, 600, 0.34,   0.34, 0.0526
3732619, 601, 13.9,   13.9, 0.412
3740774, 602, 14.85,   14.85, 0.345
3740799, 603, 0.812,   0.812, 0.0526
3757620, 604, 2.512,   2.512, 0.267
3758132, 605, 4.94,   4.94, 0.341
3760254, 606, 1.86,   1.86, 0.244
3767253, 607, 8.292,   8.292, 0.189
3780429, 608, 0.864,   0.864, 0.275
3797899, 609, 0.84,   0.84, 0.0604
3805836, 610, 0.5,   0.5, 0.0565
3809436, 611, 2.704,   2.704, 0.0838
3811032, 612, 10.14,   10.14, 0.619
3811880, 613, 8.12,   8.12, 0.146
3814416, 614, 0.856,   0.856, 0.295
3818456, 615, 6.76,   6.76, 0.439
3818547, 616, 4.248,   4.248, 0.166
3826100, 617, 12.42,   12.42, 0.279
3828926, 618, 2.816,   2.816, 0.302
3835006, 619, 1.432,   1.432, 0.0877
3851029, 620, 13,   13, 0.24
3858017, 621, 14.54,   14.54, 0.166
3874575, 622, 1.048,   1.048, 0.0643
3875730, 623, 0.308,   0.308, 0.0526
3880625, 624, 8.172,   8.172, 0.0565
3882029, 625, 2.784,   2.784, 0.0604
3890116, 626, 1.828,   1.828, 0.404
3900202, 627, 1.128,   1.128, 0.158
3900464, 628, 0.852,   0.852, 0.131
3902492, 629, 1.008,   1.008, 0.135
3906176, 630, 1.572,   1.572, 0.0526
3906739, 631, 1.04,   1.04, 0.31
3909279, 632, 3.512,   3.512, 0.0994
3913988, 633, 0.248,   0.248, 0.103
3919674, 634, 12.64,   12.64, 0.0877
3921941, 635, 0.492,   0.492, 0.138
3923225, 636, 12.12,   12.12, 0.244
3925465, 637, 13.63,   13.63, 0.556
3926484, 638, 4.244,   4.244, 0.357
3928008, 639, 0.884,   0.884, 0.0604
3930949, 640, 0.2,   0.2, 0.0604
3934587, 641, 1.184,   1.184, 0.0604
3936052, 642, 0.896,   0.896, 0.123
3937052, 643, 4.376,   4.376, 0.0682
3938451, 644, 0.492,   0.492, 0.181
3944857, 645, 0.604,   0.604, 0.0565
3946097, 646, 1.112,   1.112, 0.103
3953283, 647, 10.09,   10.09, 0.0643
3958292, 648, 0.608,   0.608, 0.0799
3961887, 649, 14,   14, 0.0565
3962876, 650, 9.892,   9.892, 0.248
3963578, 651, 1.228,   1.228, 0.0526
3965354, 652, 10.74,   10.74, 0.138
3975037, 653, 4.228,   4.228, 0.0682
3975724, 654, 8.308,   8.308, 0.193
3975870, 655, 6.784,   6.784, 0.326
3976851, 656, 1.916,   1.916, 0.0799
3982100, 657, 6.308,   6.308, 0.17
3985285, 658, 5.348,   5.348, 0.0604
3989315, 659, 0.296,   0.296, 0.142
3990913, 660, 1.152,   1.152, 0.146
4000867, 661, 1.484,   1.484, 0.0526
4008292, 662, 1.76,   1.76, 0.162
4021655, 663, 0.828,   0.828, 0.263
4029332, 664, 12.87,   12.87, 0.498
4030524, 665, 0.532,   0.532, 0.306
4033644, 666, 13.04,   13.04, 0.0838
4034767, 667, 0.572,   0.572, 0.0838
4041949, 668, 2.424,   2.424, 0.302
4062927, 669, 0.324,   0.324, 0.0643
4063537, 670, 0.368,   0.368, 0.189
4065328, 671, 1.708,   1.708, 0.123
4079894, 672, 14.15,   14.15, 0.0565
4083550, 673, 0.956,   0.956, 0.0487
4083618, 674, 0.332,   0.332, 0.0877
4088067, 675, 6.992,   6.992, 0.56
4089769, 676, 0.712,   0.712, 0.0721
4106418, 677, 4.824,   4.824, 0.076
4108985, 678, 2.26,   2.26, 0.197
4114633, 679, 0.424,   0.424, 0.0565
4115364, 680, 1.98,   1.98, 0.0916
4116833, 681, 3.428,   3.428, 0.0643
4123539, 682, 1.332,   1.332, 0.0448
4124187, 683, 6.932,   6.932, 0.0565
4126454, 684, 8.892,   8.892, 0.0487
4139492, 685, 1.8,   1.8, 0.287
4144403, 686, 0.372,   0.372, 0.123
4152589, 687, 10.94,   10.94, 0.357
4164981, 688, 5.232,   5.232, 0.076
4167812, 689, 2.8,   2.8, 0.154
4173569, 690, 4.132,   4.132, 0.177
4178987, 691, 1.548,   1.548, 0.24
4180989, 692, 1.784,   1.784, 0.17
4188102, 693, 0.532,   0.532, 0.119
4192106, 694, 1.392,   1.392, 0.0565
4192449, 695, 0.952,   0.952, 0.279
4197659, 696, 0.876,   0.876, 0.0682
4198716, 697, 0.36,   0.36, 0.213
4202539, 698, 7.044,   7.044, 0.0799
4207229, 699, 1.4,   1.4, 0.209
4208184, 700, 8.38,   8.38, 0.217
4208714, 701, 9.464,   9.464, 0.213
4213231, 702, 7.868,   7.868, 0.158
4228743, 703, 0.32,   0.32, 0.232
4230886, 704, 1.288,   1.288, 0.0526
4236318, 705, 0.692,   0.692, 0.0448
4238937, 706, 5.492,   5.492, 0.0838
4243789, 707, 0.808,   0.808, 0.0526
4246545, 708, 3.916,   3.916, 0.0682
4251398, 709, 8.304,   8.304, 0.498
4259887, 710, 0.18,   0.18, 0.162
4266466, 711, 7.968,   7.968, 0.228
4271988, 712, 1.596,   1.596, 0.123
4274042, 713, 0.316,   0.316, 0.603
4280861, 714, 6.344,   6.344, 0.189
4288986, 715, 1.14,   1.14, 0.0565
4292807, 716, 1.644,   1.644, 0.0487
4294485, 717, 0.252,   0.252, 0.0799
4300995, 718, 2.492,   2.492, 0.338
4307269, 719, 0.404,   0.404, 0.0526
4327560, 720, 1.068,   1.068, 0.0838
4333865, 721, 8.06,   8.06, 0.197
4350675, 722, 0.9,   0.9, 0.244
4357830, 723, 1.388,   1.388, 0.0565
4358379, 724, 7.152,   7.152, 0.138
4359747, 725, 1.524,   1.524, 0.0643
4362869, 726, 2.84,   2.84, 0.217
4369898, 727, 5.6,   5.6, 0.111
4376435, 728, 3.912,   3.912, 0.896
4376517, 729, 0.64,   0.64, 0.271
4381720, 730, 6.072,   6.072, 0.295
4395358, 731, 1.22,   1.22, 0.459
4405532, 732, 0.268,   0.268, 0.0487
4409364, 733, 4.412,   4.412, 0.107
4419296, 734, 1.084,   1.084, 0.0643
4421669, 735, 0.992,   0.992, 0.0565
4423093, 736, 12.95,   12.95, 0.345
4428602, 737, 5.888,   5.888, 0.236
4433512, 738, 3.944,   3.944, 0.076
4437364, 739, 3.864,   3.864, 0.123
4437476, 740, 8.024,   8.024, 0.162
4442313, 741, 5.14,   5.14, 0.177
4454060, 742, 1.976,   1.976, 0.283
4464188, 743, 5.764,   5.764, 0.0799
4464297, 744, 0.912,   0.912, 0.263
4473749, 745, 2.828,   2.828, 0.205
4483574, 746, 4.324,   4.324, 0.0877
4489733, 747, 14.33,   14.33, 0.15
4498236, 748, 0.504,   0.504, 0.127
4499431, 749, 1.044,   1.044, 0.138
4501415, 750, 3.7,   3.7, 0.0916
4501758, 751, 0.624,   0.624, 0.0721
4508498, 752, 0.664,   0.664, 0.0799
4515945, 753, 0.836,   0.836, 0.0487
4530675, 754, 0.776,   0.776, 0.0448
4542792, 755, 4.816,   4.816, 0.131
4543545, 756, 4.676,   4.676, 0.439
4547770, 757, 2.412,   2.412, 0.111
4549421, 758, 2.248,   2.248, 0.0565
4550435, 759, 0.92,   0.92, 0.0682
4550659, 760, 0.424,   0.424, 0.626
4552123, 761, 1.384,   1.384, 0.177
4553563, 762, 8.736,   8.736, 0.341
4556912, 763, 0.516,   0.516, 0.373
4557613, 764, 0.736,   0.736, 0.0526
4563250, 765, 3.448,   3.448, 0.185
4565482, 766, 12.35,   12.35, 0.166
4568827, 767, 14.57,   14.57, 0.0643
4570774, 768, 1.516,   1.516, 0.263
4571912, 769, 3.084,   3.084, 0.498
4580150, 770, 2.728,   2.728, 0.146
4594092, 771, 0.596,   0.596, 0.123
4606538, 772, 1.588,   1.588, 0.0721
4613382, 773, 4.164,   4.164, 0.076
4614916, 774, 3.748,   3.748, 0.0526
4624052, 775, 0.516,   0.516, 0.33
4624164, 776, 2.416,   2.416, 0.357
4628124, 777, 1.496,   1.496, 0.279
4629533, 778, 1.244,   1.244, 0.107
4637843, 779, 2.392,   2.392, 0.111
4639070, 780, 1.688,   1.688, 0.322
4639974, 781, 1.112,   1.112, 0.205
4645153, 782, 0.9,   0.9, 0.0838
4645556, 783, 4.752,   4.752, 0.509
4681082, 784, 3.052,   3.052, 0.127
4695071, 785, 0.996,   0.996, 0.228
4696768, 786, 2.396,   2.396, 0.0565
4701036, 787, 1.276,   1.276, 0.0565
4702583, 788, 0.28,   0.28, 0.213
4705580, 789, 9.084,   9.084, 0.0799
4709465, 790, 1.892,   1.892, 0.334
4709651, 791, 0.932,   0.932, 0.127
4713572, 792, 2.036,   2.036, 0.0838
4729707, 793, 7.64,   7.64, 0.501
4737949, 794, 0.62,   0.62, 0.0604
4745896, 795, 1.928,   1.928, 0.0604
4752891, 796, 0.328,   0.328, 0.291
4760085, 797, 3.424,   3.424, 0.412
4764975, 798, 9.604,   9.604, 0.287
4765649, 799, 14.65,   14.65, 0.111
4765998, 800, 0.768,   0.768, 0.236
4777595, 801, 0.868,   0.868, 0.0565
4797968, 802, 4.056,   4.056, 0.197
4806014, 803, 0.62,   0.62, 0.345
4807231, 804, 10.01,   10.01, 0.0565
4809724, 805, 0.272,   0.272, 0.123
4826260, 806, 2.852,   2.852, 0.0721
4832346, 807, 0.492,   0.492, 0.0526
4836228, 808, 5.96,   5.96, 0.361
4836506, 809, 1.452,   1.452, 0.209
4837854, 810, 3.984,   3.984, 0.0799
4849581, 811, 0.82,   0.82, 0.0565
4850590, 812, 1.184,   1.184, 0.0721
4851040, 813, 12.26,   12.26, 0.295
4852659, 814, 9.4,   9.4, 0.0682
4853454, 815, 5.1,   5.1, 0.138
4861711, 816, 11,   11, 0.22
4874256, 817, 3.636,   3.636, 0.107
4875851, 818, 12.13,   12.13, 0.228
4879594, 819, 3.02,   3.02, 0.0565
4892772, 820, 1.612,   1.612, 0.201
4894710, 821, 2.408,   2.408, 0.213
4900187, 822, 6.512,   6.512, 0.533
4902017, 823, 4.372,   4.372, 0.0604
4907811, 824, 0.68,   0.68, 0.0838
4911492, 825, 0.768,   0.768, 0.377
4915094, 826, 5.704,   5.704, 0.142
4917919, 827, 1.48,   1.48, 0.158
4918966, 828, 0.628,   0.628, 0.0604
4932606, 829, 1.408,   1.408, 0.0448
4932938, 830, 2.224,   2.224, 0.209
4933194, 831, 0.656,   0.656, 0.0838
4933759, 832, 0.464,   0.464, 0.135
4933790, 833, 4.224,   4.224, 0.369
4941456, 834, 5.56,   5.56, 0.47
4951110, 835, 6.956,   6.956, 0.0916
4960607, 836, 3.784,   3.784, 0.263
4968265, 837, 1.616,   1.616, 0.0643
4972616, 838, 1.072,   1.072, 0.0604
4980898, 839, 2.04,   2.04, 0.142
4983556, 840, 1.052,   1.052, 0.0721
4991301, 841, 3.324,   3.324, 0.0682
4999677, 842, 1.848,   1.848, 0.0682
5000645, 843, 1.46,   1.46, 0.0565
5002623, 844, 0.24,   0.24, 0.0994
5002632, 845, 9.488,   9.488, 0.451
5012895, 846, 0.98,   0.98, 0.232
5015493, 847, 1.248,   1.248, 0.369
5017759, 848, 1.68,   1.68, 0.0526
5020532, 849, 4.82,   4.82, 0.189
5021901, 850, 2.336,   2.336, 0.115
5023490, 851, 0.912,   0.912, 0.111
5026048, 852, 4.48,   4.48, 0.193
5028509, 853, 3.908,   3.908, 0.517
5030957, 854, 2.592,   2.592, 0.205
5042922, 855, 6.024,   6.024, 0.509
5051760, 856, 1.028,   1.028, 0.0565
5084888, 857, 14.91,   14.91, 0.103
5092009, 858, 1.18,   1.18, 0.0604
5096079, 859, 1.924,   1.924, 0.232
5108880, 860, 4.72,   4.72, 0.0721
5121247, 861, 5.696,   5.696, 0.154
5126631, 862, 1.968,   1.968, 0.537
5137408, 863, 0.168,   0.168, 0.076
5140227, 864, 2.468,   2.468, 0.205
5140564, 865, 1.12,   1.12, 0.115
5146659, 866, 0.764,   0.764, 0.131
5154161, 867, 2.096,   2.096, 0.17
5154586, 868, 0.432,   0.432, 0.0877
5159461, 869, 0.26,   0.26, 0.127
5160895, 870, 0.736,   0.736, 0.455
5173918, 871, 12.64,   12.64, 0.107
5188322, 872, 0.344,   0.344, 0.162
5198520, 873, 8.208,   8.208, 0.185
5201756, 874, 3.176,   3.176, 0.283
5205771, 875, 1.516,   1.516, 0.131
5206960, 876, 1.9,   1.9, 0.0565
5211084, 877, 2.492,   2.492, 0.135
5238342, 878, 2.124,   2.124, 0.119
5252597, 879, 6.324,   6.324, 0.224
5254007, 880, 11.28,   11.28, 0.341
5255263, 881, 4.312,   4.312, 0.267
5270351, 882, 8,   8, 0.138
5281042, 883, 14.73,   14.73, 0.131
5282257, 884, 2.736,   2.736, 0.15
5294940, 885, 2.948,   2.948, 0.24
5309348, 886, 0.276,   0.276, 0.17
5318733, 887, 11.46,   11.46, 0.162
5319383, 888, 12.11,   12.11, 0.0877
5331938, 889, 0.7,   0.7, 0.154
5333054, 890, 1.64,   1.64, 0.0604
5333225, 891, 1.616,   1.616, 0.24
5333421, 892, 1.36,   1.36, 0.0604
5341163, 893, 6.056,   6.056, 0.15
5347615, 894, 0.168,   0.168, 0.279
5348457, 895, 10.41,   10.41, 0.697
5350709, 896, 0.344,   0.344, 0.228
5356602, 897, 2.72,   2.72, 0.0565
5359107, 898, 9.7,   9.7, 0.131
5360133, 899, 4.636,   4.636, 0.174
5361848, 900, 2.976,   2.976, 0.146
5380536, 901, 7.916,   7.916, 0.205
5381597, 902, 3.876,   3.876, 0.0526
5388358, 903, 2.924,   2.924, 0.283
5390180, 904, 0.376,   0.376, 0.0643
5396578, 905, 7.78,   7.78, 0.0565
5399778, 906, 1.148,   1.148, 0.174
5405350, 907, 2.064,   2.064, 0.107
5405427, 908, 9.384,   9.384, 0.076
5411870, 909, 1.868,   1.868, 0.0721
5416368, 910, 14.16,   14.16, 0.306
5417168, 911, 1.34,   1.34, 0.0799
5417580, 912, 1.608,   1.608, 0.0721
5425431, 913, 6.256,   6.256, 0.24
5444233, 914, 14.99,   14.99, 0.704
5445945, 915, 0.916,   0.916, 0.0526
5446334, 916, 8.704,   8.704, 0.248
5452904, 917, 7.6,   7.6, 0.0721
5454284, 918, 11.88,   11.88, 0.486
5463464, 919, 0.412,   0.412, 0.131
5466348, 920, 0.884,   0.884, 0.0565
5470374, 921, 1.092,   1.092, 0.392
5475236, 922, 0.232,   0.232, 0.0994
5482437, 923, 1.48,   1.48, 0.189
5497179, 924, 1.332,   1.332, 0.373
5500113, 925, 0.34,   0.34, 0.4
5505334, 926, 6.94,   6.94, 0.181
5511323, 927, 0.168,   0.168, 0.0721
5519354, 928, 14.11,   14.11, 0.0526
5532662, 929, 11.1,   11.1, 0.0682
5536459, 930, 11.27,   11.27, 0.103
5538459, 931, 4.22,   4.22, 0.123
5541038, 932, 0.74,   0.74, 0.158
5552087, 933, 14.2,   14.2, 0.0838
5555941, 934, 0.864,   0.864, 0.0604
5556990, 935, 10.19,   10.19, 0.22
5557095, 936, 6.232,   6.232, 0.33
5571137, 937, 2.708,   2.708, 0.138
5571261, 938, 11.1,   11.1, 0.0682
5572396, 939, 1.348,   1.348, 0.0994
5573036, 940, 1.012,   1.012, 0.0721
5582713, 941, 0.516,   0.516, 0.0643
5591629, 942, 14.94,   14.94, 0.404
5607940, 943, 1.236,   1.236, 0.0526
5610122, 944, 3.032,   3.032, 0.0565
5614371, 945, 2.992,   2.992, 0.0604
5616687, 946, 1.044,   1.044, 0.0565
5639150, 947, 6.756,   6.756, 0.369
5644232, 948, 0.464,   0.464, 0.0487
5647102, 949, 0.944,   0.944, 0.0643
5656105, 950, 3.956,   3.956, 0.0565
5667998, 951, 2.092,   2.092, 0.279
5671768, 952, 2.624,   2.624, 0.0994
5686010, 953, 3.852,   3.852, 0.154
5690803, 954, 0.9,   0.9, 0.0604
5693728, 955, 6.128,   6.128, 0.326
5696011, 956, 1.456,   1.456, 0.0565
5698836, 957, 2.436,   2.436, 0.0604
5711887, 958, 3.108,   3.108, 0.189
5718882, 959, 2.812,   2.812, 0.0487
5721948, 960, 0.656,   0.656, 0.369
5723384, 961, 10.22,   10.22, 0.248
5725588, 962, 0.236,   0.236, 0.0604
5728319, 963, 0.324,   0.324, 0.0643
5730139, 964, 0.376,   0.376, 0.154
5730985, 965, 12.32,   12.32, 0.185
5731302, 966, 4.244,   4.244, 0.0526
5734991, 967, 10.96,   10.96, 0.138
5736000, 968, 1.192,   1.192, 0.0643
5736983, 969, 0.852,   0.852, 0.0487
5744090, 970, 11.8,   11.8, 0.0838
5745406, 971, 14.46,   14.46, 0.185
5746329, 972, 0.644,   0.644, 0.0526
5754768, 973, 2.98,   2.98, 0.15
5755661, 974, 1.592,   1.592, 0.0994
5766766, 975, 4.668,   4.668, 0.0565
5781076, 976, 12.25,   12.25, 0.189
5797895, 977, 0.42,   0.42, 0.0682
5810115, 978, 2.68,   2.68, 0.0526
5817160, 979, 4.068,   4.068, 0.0565
5830218, 980, 10.47,   10.47, 0.0604
5831142, 981, 1.564,   1.564, 0.361
5831468, 982, 0.264,   0.264, 0.123
5833199, 983, 0.712,   0.712, 0.564
5837292, 984, 1.332,   1.332, 0.107
5838993, 985, 1.168,   1.168, 0.259
5841928, 986, 1.992,   1.992, 0.224
5842738, 987, 9.228,   9.228, 0.509
5843505, 988, 9.828,   9.828, 0.201
5855968, 989, 0.832,   0.832, 0.135
5861055, 990, 11.22,   11.22, 0.0877
5865190, 991, 7.784,   7.784, 0.166
5866884, 992, 1.444,   1.444, 0.0448
5894995, 993, 8.596,   8.596, 0.474
5895602, 994, 11.14,   11.14, 0.423
5902941, 995, 2.504,   2.504, 0.287
5907562, 996, 0.816,   0.816, 0.0682
5908431, 997, 0.536,   0.536, 0.0643
5914688, 998, 1.172,   1.172, 0.076
5919167, 999, 0.952,   0.952, 0.275
5927218, 1000, 4.32,   4.32, 0.283
5935364, 1001, 0.436,   0.436, 0.0643
5958210, 1002, 8.36,   8.36, 0.0721
5959462, 1003, 0.684,   0.684, 0.302
5962354, 1004, 0.228,   0.228, 0.338
5965014, 1005, 1.492,   1.492, 0.154
5970111, 1006, 1.264,   1.264, 0.158
5985127, 1007, 3.156,   3.156, 0.162
5991006, 1008, 3.448,   3.448, 0.209
5994109, 1009, 0.588,   0.588, 0.119
5995896, 1010, 14.41,   14.41, 0.127
5996923, 1011, 9.872,   9.872, 0.076
5998067, 1012, 9.924,   9.924, 0.0721
6003511, 1013, 0.976,   0.976, 0.486
6006133, 1014, 3.148,   3.148, 0.0682
6012088, 1015, 0.536,   0.536, 0.205
6015896, 1016, 1.22,   1.22, 0.0487
6020461, 1017, 8.48,   8.48, 0.232
6021871, 1018, 1.876,   1.876, 0.338
6025313, 1019, 9.46,   9.46, 0.263
6039057, 1020, 8.492,   8.492, 0.0721
6040424, 1021, 1.368,   1.368, 0.0565
6041383, 1022, 6.532,   6.532, 0.0643
6042946, 1023, 0.556,   0.556, 0.365
6044587, 1024, 8.008,   8.008, 0.119
6047802, 1025, 1.312,   1.312, 0.135
6050171, 1026, 1.74,   1.74, 0.0565
6053780, 1027, 0.456,   0.456, 0.17
6055205, 1028, 1.032,   1.032, 0.0487
6068069, 1029, 9.812,   9.812, 0.326
6069274, 1030, 0.324,   0.324, 0.15
6090605, 1031, 5.204,   5.204, 0.166
6098558, 1032, 2.024,   2.024, 0.107
6098755, 1033, 4.28,   4.28, 0.0565
6104337, 1034, 0.564,   0.564, 0.283
6114686, 1035, 5.96,   5.96, 0.115
6116527, 1036, 11.59,   11.59, 0.47
6122244, 1037, 8.904,   8.904, 0.427
6123873, 1038, 3.996,   3.996, 0.31
6126689, 1039, 3.436,   3.436, 0.267
6128175, 1040, 0.752,   0.752, 0.326
6132928, 1041, 4.928,   4.928, 0.896
6139630, 1042, 0.468,   0.468, 0.0721
6174336, 1043, 1.252,   1.252, 0.0565
6182925, 1044, 0.52,   0.52, 0.0526
6183112, 1045, 8.268,   8.268, 0.0721
6193194, 1046, 1.004,   1.004, 0.232
6210600, 1047, 9.088,   9.088, 0.0526
6211454, 1048, 7.328,   7.328, 0.275
6216373, 1049, 3.188,   3.188, 0.0877
6219382, 1050, 7.108,   7.108, 0.181
6241360, 1051, 1.808,   1.808, 0.17
6246933, 1052, 0.312,   0.312, 0.0721
6248692, 1053, 2.872,   2.872, 0.0565
6251651, 1054, 2.072,   2.072, 0.0526
6259393, 1055, 1.232,   1.232, 0.0487
6260783, 1056, 1.236,   1.236, 0.0643
6269923, 1057, 7.828,   7.828, 0.217
6273336, 1058, 2.856,   2.856, 0.427
6283616, 1059, 4.372,   4.372, 0.0604
6287761, 1060, 1.324,   1.324, 0.0487
6287996, 1061, 1.14,   1.14, 0.33
6304107, 1062, 2.332,   2.332, 0.154
6309371, 1063, 0.512,   0.512, 0.505
6313091, 1064, 1.052,   1.052, 0.0643
6325906, 1065, 3.828,   3.828, 0.166
6329523, 1066, 5.6,   5.6, 0.131
6336909, 1067, 0.76,   0.76, 0.185
6339206, 1068, 0.944,   0.944, 0.0487
6343614, 1069, 1.268,   1.268, 0.0448
6343789, 1070, 2.664,   2.664, 0.0916
6350765, 1071, 1.404,   1.404, 0.127
6354856, 1072, 1.42,   1.42, 0.138
6365875, 1073, 1.596,   1.596, 0.0604
6366088, 1074, 2.256,   2.256, 0.22
6374290, 1075, 2.708,   2.708, 0.259
6376017, 1076, 0.656,   0.656, 0.119
6386101, 1077, 13.83,   13.83, 0.209
6388803, 1078, 0.252,   0.252, 0.0604
6395820, 1079, 3.696,   3.696, 0.0721
6396047, 1080, 1.056,   1.056, 0.427
6400815, 1081, 1.64,   1.64, 0.217

# Run Summary: started 180403-2005  Trun=1623453.2s  
#             Ntrig=6517345   Tlife=1574187.2s
#             Nacc=6403821 Ndble=1881
