# EvNr,  EvT,   V(1),  T(1), ..., V(NC), T(NC) 
18, 0.70, 0.115, 0.000
42, 1.23, 0.150, 0.000
179, 4.54, 0.209, 0.000
196, 5.06, 0.181, 0.000
200, 5.23, 0.127, 0.000
235, 5.97, 0.193, 0.000
322, 8.47, 0.115, 0.000
338, 8.85, 0.138, 0.000
375, 9.78, 0.162, 0.000
469, 12.11, 0.193, 0.000
472, 12.19, 0.142, 0.000
529, 13.60, 0.189, 0.000
541, 13.91, 0.291, 0.000
577, 14.68, 0.174, 0.000
580, 14.74, 0.111, 0.000
629, 16.17, 0.146, 0.000
630, 16.20, 0.103, 0.000
841, 21.67, 0.096, 0.000
1110, 29.29, 0.197, 0.000
1149, 30.47, 0.131, 0.000
1319, 34.29, 0.123, 0.000
1427, 36.88, 0.166, 0.000
1511, 38.98, 0.267, 0.000
1535, 39.80, 0.162, 0.000
1657, 43.17, 0.170, 0.000
1691, 44.08, 0.201, 0.000
1711, 44.43, 0.365, 0.000
1750, 45.40, 0.111, 0.000
1776, 45.93, 0.193, 0.000
1822, 47.49, 0.115, 0.000
1965, 50.93, 0.310, 0.000
2122, 55.15, 0.252, 0.000
2147, 55.75, 0.220, 0.000
2210, 57.25, 0.224, 0.000
2350, 60.74, 0.099, 0.000
2363, 60.96, 0.142, 0.000
2433, 62.95, 0.166, 0.000
2497, 64.84, 0.392, 0.000
2518, 65.28, 0.119, 0.000
2562, 66.27, 0.111, 0.000
2648, 68.26, 0.240, 0.000
2659, 68.96, 0.228, 0.000
2691, 69.56, 0.170, 0.000
2695, 69.72, 0.154, 0.000
2774, 71.48, 0.115, 0.000
2819, 72.63, 0.185, 0.000
2956, 75.90, 0.084, 0.000
2975, 76.47, 0.341, 0.000
3076, 78.88, 0.107, 0.000
3158, 80.86, 0.158, 0.000
3233, 83.27, 0.099, 0.000
3279, 84.62, 0.213, 0.000
3324, 85.69, 0.135, 0.000
3361, 86.87, 0.189, 0.000
3414, 88.02, 0.162, 0.000
3625, 93.35, 0.099, 0.000
3658, 94.07, 0.138, 0.000
3806, 97.66, 0.181, 0.000
3812, 97.80, 0.189, 0.000
3847, 98.69, 0.111, 0.000
3862, 99.08, 0.259, 0.000
3937, 101.26, 0.299, 0.000
4059, 104.24, 0.131, 0.000
4147, 106.69, 0.099, 0.000
4203, 108.00, 0.092, 0.000
4333, 111.26, 0.092, 0.000
4362, 111.79, 0.240, 0.000
4866, 124.26, 0.213, 0.000
4907, 125.16, 0.205, 0.000
4909, 125.19, 0.123, 0.000
4929, 125.54, 0.345, 0.000
4933, 125.59, 0.322, 0.000
4936, 125.70, 0.236, 0.000
5055, 128.50, 0.123, 0.000
5106, 129.96, 0.099, 0.000
5126, 130.54, 0.096, 0.000
5150, 131.15, 0.170, 0.000
5259, 133.61, 0.197, 0.000
5421, 137.71, 0.201, 0.000
5502, 139.62, 0.150, 0.000
5718, 144.90, 0.111, 0.000
5874, 149.01, 0.240, 0.000
5958, 151.14, 0.256, 0.000
6041, 152.98, 0.213, 0.000
6494, 163.83, 0.166, 0.000
6498, 163.89, 0.158, 0.000
6526, 164.55, 0.135, 0.000
6541, 164.98, 0.330, 0.000
6643, 167.65, 0.213, 0.000
6705, 169.14, 0.119, 0.000
6815, 171.93, 0.162, 0.000
6925, 174.53, 0.088, 0.000
6998, 176.41, 0.115, 0.000
7203, 181.18, 0.099, 0.000
7267, 182.75, 0.236, 0.000
7285, 183.21, 0.158, 0.000
7389, 185.62, 0.131, 0.000
7423, 186.41, 0.084, 0.000
7521, 189.03, 0.084, 0.000
7752, 194.93, 0.107, 0.000
7847, 197.11, 0.302, 0.000
8059, 202.13, 0.115, 0.000
8065, 202.23, 0.107, 0.000
8189, 205.37, 0.181, 0.000
8204, 205.77, 0.080, 0.000
8224, 206.26, 0.177, 0.000
8308, 208.11, 0.154, 0.000
8312, 208.17, 0.092, 0.000
8687, 217.54, 0.123, 0.000
8794, 219.99, 0.174, 0.000
8797, 220.14, 0.209, 0.000
9017, 225.62, 0.193, 0.000
9087, 227.47, 0.099, 0.000
9149, 228.76, 0.189, 0.000
9183, 229.60, 0.220, 0.000
9311, 232.92, 0.142, 0.000
9378, 234.47, 0.197, 0.000
9646, 240.99, 0.115, 0.000
9680, 242.10, 0.193, 0.000
9895, 247.72, 0.084, 0.000
9897, 247.74, 0.092, 0.000
9949, 248.96, 0.326, 0.000
9988, 249.96, 0.232, 0.000
10061, 251.93, 0.131, 0.000
10152, 254.49, 0.193, 0.000
10236, 257.02, 0.115, 0.000
10295, 258.54, 0.166, 0.000
10323, 259.07, 0.146, 0.000
10358, 259.95, 0.197, 0.000
10419, 261.26, 0.111, 0.000
10475, 262.49, 0.209, 0.000
10496, 263.08, 0.279, 0.000
10610, 265.85, 0.263, 0.000
10681, 267.55, 0.166, 0.000
10701, 268.09, 0.127, 0.000
10852, 271.75, 0.181, 0.000
10997, 275.59, 0.299, 0.000
11245, 281.38, 0.162, 0.000
11374, 284.71, 0.150, 0.000
11492, 287.80, 0.138, 0.000
11772, 294.74, 0.150, 0.000
11788, 295.13, 0.314, 0.000
11796, 295.51, 0.267, 0.000
11798, 295.60, 0.099, 0.000
11832, 296.33, 0.119, 0.000
11860, 296.93, 0.123, 0.000
11981, 299.95, 0.111, 0.000
11984, 300.09, 0.111, 0.000
12270, 307.38, 0.150, 0.000
12279, 307.70, 0.138, 0.000
12505, 313.50, 0.088, 0.000
12515, 313.85, 0.185, 0.000
12633, 316.72, 0.162, 0.000
12658, 317.44, 0.177, 0.000
12675, 317.91, 0.146, 0.000
12743, 319.65, 0.338, 0.000
12855, 322.48, 0.217, 0.000
12987, 325.73, 0.623, 0.000
12998, 326.12, 0.111, 0.000
13033, 326.88, 0.162, 0.000
13086, 328.25, 0.111, 0.000
13091, 328.33, 0.162, 0.000
13235, 331.99, 0.209, 0.000
13313, 333.99, 0.170, 0.000
13406, 336.26, 0.287, 0.000
13430, 336.95, 0.334, 0.000
13442, 337.17, 0.248, 0.000
13517, 339.54, 0.138, 0.000
13546, 340.21, 0.135, 0.000
13599, 341.30, 0.209, 0.000
13688, 343.43, 0.209, 0.000
13757, 345.38, 0.252, 0.000
13830, 347.32, 0.392, 0.000
